run,acc,f1_macro,f1_car,precision_car,recall_car,auc_roc_car,support_car,f1_regular,precision_regular,recall_regular,auc_roc_regular,support_regular,f1_running,precision_running,recall_running,auc_roc_running,support_running,f1_walk,precision_walk,recall_walk,auc_roc_walk,support_walk
baseline,0.6540265832681783,0.6193854137406527,0.0,0.0,0.0,0.49424907334957036,1387,0.6467796610169492,0.5021052631578947,0.9085714285714286,0.8056085851454391,1575,0.894552723638181,0.931321540062435,0.8605769230769231,0.9756076847588133,1040,0.9362092703074805,0.9577464788732394,0.9156193895870736,0.9938616867508795,1114
synthetic,0.7112978889757623,0.7215420523585234,0.5212504390586582,0.5082191780821917,0.5349675558759913,0.7817045340955735,1387,0.7604075691411936,0.7021505376344086,0.8292063492063492,0.9391711605097655,1575,0.759188151398793,0.8837803320561941,0.6653846153846154,0.9599543764625953,1040,0.845322049835449,0.8874629812438302,0.8070017953321365,0.9871951367224825,1114
ratio_0p5,0.8575058639562158,0.860051648749062,0.7523978685612789,0.7415966386554622,0.7635183850036049,0.9248459481725395,1387,0.9207521826729348,0.977191732002851,0.8704761904761905,0.9947644598647141,1575,0.8618968386023295,0.7595307917888563,0.9961538461538462,0.9963968256963841,1040,0.9051597051597052,1.0,0.8267504488330341,0.9943535862230464,1114
ratio_1p0,0.8717748240813136,0.8803442048370314,0.8207312744053958,0.8083916083916084,0.8334534967555876,0.9650913174338661,1387,0.8482490272373541,0.8023782559456398,0.8996825396825396,0.9784928479534523,1575,0.9818893783651493,1.0,0.9644230769230769,0.99731519400619,1040,0.8705071393402265,0.9640130861504908,0.7935368043087971,0.9893939924113347,1114
